CO,Date,Main Pollutant,NO2,Overall AQI Value,Ozone,PM10,PM25,Site ID (of Overall AQI),Site Name (of Overall AQI),Source (of Overall AQI),source_file
16,01/01/2016,PM2.5,42,101,40,38,101,06-037-4008,Long Beach-Route 710 Near Road,AQS,aqidaily2016.csv
24,01/02/2016,PM2.5,42,83,37,27,83,06-037-1201,Reseda,AQS,aqidaily2016.csv
34,01/03/2016,PM2.5,41,100,42,23,100,06-037-4008,Long Beach-Route 710 Near Road,AQS,aqidaily2016.csv
16,01/04/2016,PM2.5,48,68,38,20,68,06-037-1201,Reseda,AQS,aqidaily2016.csv
16,01/05/2016,PM2.5,40,58,40,13,58,06-037-1201,Reseda,AQS,aqidaily2016.csv
17,01/06/2016,PM2.5,42,66,43,15,66,06-037-1201,Reseda,AQS,aqidaily2016.csv
10,01/07/2016,PM2.5,45,62,41,14,62,06-037-1201,Reseda,AQS,aqidaily2016.csv
18,01/08/2016,PM2.5,42,64,40,23,64,06-037-4008,Long Beach-Route 710 Near Road,AQS,aqidaily2016.csv
24,01/09/2016,PM2.5,35,78,40,19,78,06-037-1201,Reseda,AQS,aqidaily2016.csv
11,01/10/2016,PM2.5,32,78,38,19,78,06-037-1201,Reseda,AQS,aqidaily2016.csv
20,01/11/2016,PM2.5,53,76,37,24,76,06-037-4008,Long Beach-Route 710 Near Road,AQS,aqidaily2016.csv
22,01/12/2016,PM2.5,52,65,35,23,65,06-037-4008,Long Beach-Route 710 Near Road,AQS,aqidaily2016.csv
28,01/13/2016,PM2.5,58,75,36,41,75,06-037-4008,Long Beach-Route 710 Near Road,AQS,aqidaily2016.csv
22,01/14/2016,PM2.5,41,78,39,32,78,06-037-1103,Los Angeles-North Main Street,AQS,aqidaily2016.csv
18,01/15/2016,PM2.5,35,74,41,31,74,06-037-1103,Los Angeles-North Main Street,AQS,aqidaily2016.csv
14,01/16/2016,PM2.5,32,83,37,31,83,06-037-1201,Reseda,AQS,aqidaily2016.csv
22,01/17/2016,PM2.5,39,108,43,46,108,06-059-0007,Anaheim,AQS,aqidaily2016.csv
13,01/18/2016,PM2.5,31,75,33,33,75,06-037-0016,Glendora,AQS,aqidaily2016.csv
14,01/19/2016,PM2.5,38,69,29,25,69,06-037-0016,Glendora,AQS,aqidaily2016.csv
13,01/20/2016,PM2.5,38,76,29,12,76,06-037-1201,Reseda,AQS,aqidaily2016.csv
15,01/21/2016,PM2.5,46,68,33,24,68,06-059-0007,Anaheim,AQS,aqidaily2016.csv
22,01/22/2016,PM2.5,50,74,25,38,74,06-059-0007,Anaheim,AQS,aqidaily2016.csv
16,01/23/2016,PM2.5,38,73,39,31,73,06-059-0007,Anaheim,AQS,aqidaily2016.csv
20,01/24/2016,PM2.5,35,67,41,21,67,06-037-4008,Long Beach-Route 710 Near Road,AQS,aqidaily2016.csv
20,01/25/2016,PM2.5,53,65,39,40,65,06-037-4008,Long Beach-Route 710 Near Road,AQS,aqidaily2016.csv
27,01/26/2016,PM2.5,68,69,42,25,69,06-037-4008,Long Beach-Route 710 Near Road,AQS,aqidaily2016.csv
22,01/27/2016,PM2.5,62,66,33,37,66,06-059-0007,Anaheim,AQS,aqidaily2016.csv
26,01/28/2016,PM2.5,61,75,39,43,75,06-037-4008,Long Beach-Route 710 Near Road,AQS,aqidaily2016.csv
28,01/29/2016,PM2.5,52,76,37,40,76,06-037-1103,Los Angeles-North Main Street,AQS,aqidaily2016.csv
17,01/30/2016,PM2.5,32,70,36,27,70,06-037-1201,Reseda,AQS,aqidaily2016.csv
9,01/31/2016,Ozone,18,41,41,22,39,06-059-1003,Costa Mesa,AQS,aqidaily2016.csv
10,02/01/2016,NO2,47,47,38,10,31,06-037-4008,Long Beach-Route 710 Near Road,AQS,aqidaily2016.csv
15,02/02/2016,PM2.5,52,54,37,19,54,06-037-4008,Long Beach-Route 710 Near Road,AQS,aqidaily2016.csv
15,02/03/2016,PM2.5,56,57,38,19,57,06-037-4008,Long Beach-Route 710 Near Road,AQS,aqidaily2016.csv
18,02/04/2016,PM2.5,53,63,40,23,63,06-037-4008,Long Beach-Route 710 Near Road,AQS,aqidaily2016.csv
26,02/05/2016,PM2.5,66,66,42,15,66,06-037-4008,Long Beach-Route 710 Near Road,AQS,aqidaily2016.csv
28,02/06/2016,PM2.5,53,60,43,37,60,06-037-4008,Long Beach-Route 710 Near Road,AQS,aqidaily2016.csv
30,02/07/2016,PM2.5,55,69,48,19,69,06-037-4008,Long Beach-Route 710 Near Road,AQS,aqidaily2016.csv
44,02/08/2016,NO2,87,87,45,26,80,06-037-4008,Long Beach-Route 710 Near Road,AQS,aqidaily2016.csv
24,02/09/2016,NO2,62,62,40,17,56,06-037-4008,Long Beach-Route 710 Near Road,AQS,aqidaily2016.csv
23,02/10/2016,PM2.5,68,72,40,23,72,06-037-4008,Long Beach-Route 710 Near Road,AQS,aqidaily2016.csv
33,02/11/2016,PM2.5,77,86,64,22,86,06-037-4008,Long Beach-Route 710 Near Road,AQS,aqidaily2016.csv
40,02/12/2016,Ozone,73,105,105,51,91,06-059-2022,Mission Viejo,AQS,aqidaily2016.csv
19,02/13/2016,PM2.5,64,113,84,39,113,06-037-1103,Los Angeles-North Main Street,AQS,aqidaily2016.csv
18,02/14/2016,Ozone,67,119,119,38,96,06-059-2022,Mission Viejo,AQS,aqidaily2016.csv
36,02/15/2016,PM2.5,80,81,49,27,81,06-037-4008,Long Beach-Route 710 Near Road,AQS,aqidaily2016.csv
25,02/16/2016,PM2.5,63,64,58,27,64,06-037-4008,Long Beach-Route 710 Near Road,AQS,aqidaily2016.csv
19,02/17/2016,PM2.5,49,60,46,25,60,06-037-1103,Los Angeles-North Main Street,AQS,aqidaily2016.csv
11,02/18/2016,PM2.5,39,49,44,24,49,06-037-1103,Los Angeles-North Main Street,AQS,aqidaily2016.csv
18,02/19/2016,PM2.5,42,61,43,22,61,06-037-1103,Los Angeles-North Main Street,AQS,aqidaily2016.csv
19,02/20/2016,PM2.5,36,65,48,28,65,06-037-4008,Long Beach-Route 710 Near Road,AQS,aqidaily2016.csv
23,02/21/2016,PM2.5,42,77,74,29,77,06-037-1103,Los Angeles-North Main Street,AQS,aqidaily2016.csv
18,02/22/2016,PM2.5,60,73,50,31,73,06-037-1103,Los Angeles-North Main Street,AQS,aqidaily2016.csv
24,02/23/2016,Ozone,67,74,74,32,70,06-059-1003,Costa Mesa,AQS,aqidaily2016.csv
19,02/24/2016,NO2,55,55,54,41,53,06-037-1602,Pico Rivera #2,AQS,aqidaily2016.csv
17,02/25/2016,Ozone,64,67,67,36,65,06-037-1201,Reseda,AQS,aqidaily2016.csv
24,02/26/2016,Ozone,61,84,84,42,75,06-059-2022,Mission Viejo,AQS,aqidaily2016.csv
15,02/27/2016,Ozone,48,90,90,35,86,06-037-0016,Glendora,AQS,aqidaily2016.csv
16,02/28/2016,Ozone,35,115,115,38,101,06-037-0016,Glendora,AQS,aqidaily2016.csv
14,02/29/2016,PM2.5,51,109,84,39,109,06-037-1103,Los Angeles-North Main Street,AQS,aqidaily2016.csv
15,03/01/2016,PM2.5,58,134,90,52,134,06-037-1103,Los Angeles-North Main Street,AQS,aqidaily2016.csv
15,03/02/2016,PM2.5,55,124,74,44,124,06-037-1103,Los Angeles-North Main Street,AQS,aqidaily2016.csv
15,03/03/2016,PM2.5,42,87,49,48,87,06-037-1103,Los Angeles-North Main Street,AQS,aqidaily2016.csv
13,03/04/2016,PM2.5,39,86,47,42,86,06-037-1103,Los Angeles-North Main Street,AQS,aqidaily2016.csv
13,03/05/2016,PM2.5,28,67,36,33,67,06-037-0016,Glendora,AQS,aqidaily2016.csv
13,03/06/2016,PM2.5,25,54,46,15,54,06-037-1201,Reseda,AQS,aqidaily2016.csv
13,03/07/2016,PM2.5,36,44,44,25,44,06-037-1201,Reseda,AQS,aqidaily2016.csv
15,03/08/2016,PM2.5,40,53,44,15,53,06-037-4008,Long Beach-Route 710 Near Road,AQS,aqidaily2016.csv
16,03/09/2016,PM2.5,48,58,44,22,58,06-037-1103,Los Angeles-North Main Street,AQS,aqidaily2016.csv
18,03/10/2016,Ozone,45,67,67,29,66,06-059-2022,Mission Viejo,AQS,aqidaily2016.csv
10,03/11/2016,PM2.5,29,54,43,19,54,06-037-1103,Los Angeles-North Main Street,AQS,aqidaily2016.csv
10,03/12/2016,PM2.5,29,56,43,17,56,06-037-1201,Reseda,AQS,aqidaily2016.csv
10,03/13/2016,PM2.5,26,59,44,19,59,06-037-1201,Reseda,AQS,aqidaily2016.csv
8,03/14/2016,PM2.5,36,52,43,17,52,06-037-1201,Reseda,AQS,aqidaily2016.csv
15,03/15/2016,PM2.5,42,61,48,25,61,06-059-0007,Anaheim,AQS,aqidaily2016.csv
20,03/16/2016,Ozone,66,77,77,34,66,06-037-5005,LAX Hastings,AQS,aqidaily2016.csv
16,03/17/2016,Ozone,45,100,100,29,71,06-037-9033,Lancaster-Division Street,AQS,aqidaily2016.csv
10,03/18/2016,PM2.5,35,88,77,42,88,06-037-1103,Los Angeles-North Main Street,AQS,aqidaily2016.csv
9,03/19/2016,Ozone,27,101,101,46,98,06-037-6012,Santa Clarita,AQS,aqidaily2016.csv
11,03/20/2016,PM2.5,31,113,97,46,113,06-037-1103,Los Angeles-North Main Street,AQS,aqidaily2016.csv
9,03/21/2016,PM2.5,29,83,44,30,83,06-037-1103,Los Angeles-North Main Street,AQS,aqidaily2016.csv
11,03/22/2016,PM2.5,38,61,46,25,61,06-037-4008,Long Beach-Route 710 Near Road,AQS,aqidaily2016.csv
17,03/23/2016,PM2.5,48,57,46,31,57,06-037-4008,Long Beach-Route 710 Near Road,AQS,aqidaily2016.csv
18,03/24/2016,PM2.5,54,66,50,21,66,06-037-4008,Long Beach-Route 710 Near Road,AQS,aqidaily2016.csv
15,03/25/2016,Ozone,42,67,67,33,58,06-059-2022,Mission Viejo,AQS,aqidaily2016.csv
9,03/26/2016,Ozone,30,87,87,28,78,06-037-0002,Azusa,AQS,aqidaily2016.csv
8,03/27/2016,Ozone,22,108,108,39,82,06-037-9033,Lancaster-Division Street,AQS,aqidaily2016.csv
7,03/28/2016,PM2.5,33,64,45,27,64,06-037-4008,Long Beach-Route 710 Near Road,AQS,aqidaily2016.csv
11,03/29/2016,PM2.5,42,55,43,23,55,06-059-0007,Anaheim,AQS,aqidaily2016.csv
9,03/30/2016,PM2.5,37,58,45,19,58,06-037-1201,Reseda,AQS,aqidaily2016.csv
14,03/31/2016,PM2.5,42,56,46,35,56,06-037-1103,Los Angeles-North Main Street,AQS,aqidaily2016.csv
13,04/01/2016,PM2.5,37,68,48,30,68,06-037-1201,Reseda,AQS,aqidaily2016.csv
13,04/02/2016,Ozone,41,101,101,34,74,06-037-0002,Azusa,AQS,aqidaily2016.csv
13,04/03/2016,Ozone,35,100,100,23,67,06-059-2022,Mission Viejo,AQS,aqidaily2016.csv
14,04/04/2016,Ozone,46,64,64,23,62,06-037-1201,Reseda,AQS,aqidaily2016.csv
14,04/05/2016,Ozone,47,105,105,27,66,06-037-0016,Glendora,AQS,aqidaily2016.csv
14,04/06/2016,Ozone,55,74,74,52,68,06-037-1201,Reseda,AQS,aqidaily2016.csv
10,04/07/2016,PM2.5,45,71,47,38,71,06-037-1201,Reseda,AQS,aqidaily2016.csv
13,04/08/2016,PM2.5,31,71,42,37,71,06-037-0016,Glendora,AQS,aqidaily2016.csv
13,04/09/2016,PM2.5,25,59,36,12,59,06-037-1201,Reseda,AQS,aqidaily2016.csv
10,04/10/2016,PM2.5,26,56,42,15,56,06-037-1201,Reseda,AQS,aqidaily2016.csv
11,04/11/2016,PM2.5,33,59,45,15,59,06-037-1201,Reseda,AQS,aqidaily2016.csv
13,04/12/2016,PM2.5,29,59,51,23,59,06-037-1201,Reseda,AQS,aqidaily2016.csv
13,04/13/2016,PM2.5,31,63,48,27,63,06-037-1201,Reseda,AQS,aqidaily2016.csv
13,04/14/2016,Ozone,34,71,71,44,67,06-037-9033,Lancaster-Division Street,AQS,aqidaily2016.csv
11,04/15/2016,PM2.5,41,61,54,36,61,06-037-4008,Long Beach-Route 710 Near Road,AQS,aqidaily2016.csv
18,04/16/2016,PM2.5,44,62,61,30,62,06-037-4008,Long Beach-Route 710 Near Road,AQS,aqidaily2016.csv
17,04/17/2016,Ozone,41,97,97,26,60,06-037-0002,Azusa,AQS,aqidaily2016.csv
18,04/18/2016,Ozone,55,108,108,29,65,06-037-6012,Santa Clarita,AQS,aqidaily2016.csv
18,04/19/2016,Ozone,60,115,115,27,68,06-037-5005,LAX Hastings,AQS,aqidaily2016.csv
15,04/20/2016,Ozone,64,108,108,26,68,06-037-9033,Lancaster-Division Street,AQS,aqidaily2016.csv
11,04/21/2016,Ozone,47,112,112,31,54,06-037-9033,Lancaster-Division Street,AQS,aqidaily2016.csv
7,04/22/2016,PM2.5,31,53,50,31,53,06-037-1201,Reseda,AQS,aqidaily2016.csv
7,04/23/2016,Ozone,30,67,67,23,52,06-037-9033,Lancaster-Division Street,AQS,aqidaily2016.csv
7,04/24/2016,Ozone,25,77,77,28,59,06-037-0002,Azusa,AQS,aqidaily2016.csv
7,04/25/2016,PM2.5,43,68,50,47,68,06-037-4008,Long Beach-Route 710 Near Road,AQS,aqidaily2016.csv
8,04/26/2016,Ozone,39,74,74,31,59,06-059-1003,Costa Mesa,AQS,aqidaily2016.csv
9,04/27/2016,PM2.5,37,69,64,31,69,06-037-1201,Reseda,AQS,aqidaily2016.csv
7,04/28/2016,PM2.5,30,59,51,28,59,06-037-4008,Long Beach-Route 710 Near Road,AQS,aqidaily2016.csv
8,04/29/2016,PM2.5,31,63,58,29,63,06-037-1201,Reseda,AQS,aqidaily2016.csv
9,04/30/2016,PM2.5,25,60,51,23,60,06-037-1201,Reseda,AQS,aqidaily2016.csv
9,05/01/2016,Ozone,21,80,80,29,68,06-037-6012,Santa Clarita,AQS,aqidaily2016.csv
8,05/02/2016,PM2.5,39,70,67,39,70,06-037-1103,Los Angeles-North Main Street,AQS,aqidaily2016.csv
9,05/03/2016,Ozone,40,84,84,38,71,06-037-9033,Lancaster-Division Street,AQS,aqidaily2016.csv
7,05/04/2016,Ozone,48,77,77,39,71,06-037-9033,Lancaster-Division Street,AQS,aqidaily2016.csv
8,05/05/2016,PM2.5,32,53,41,19,53,06-037-0016,Glendora,AQS,aqidaily2016.csv
8,05/06/2016,PM2.5,32,47,44,11,47,06-037-1201,Reseda,AQS,aqidaily2016.csv
10,05/07/2016,PM2.5,26,51,46,13,51,06-037-0016,Glendora,AQS,aqidaily2016.csv
8,05/08/2016,PM2.5,24,45,44,13,45,06-037-1201,Reseda,AQS,aqidaily2016.csv
8,05/09/2016,PM2.5,37,56,50,20,56,06-037-0016,Glendora,AQS,aqidaily2016.csv
8,05/10/2016,Ozone,33,77,77,25,63,06-037-9033,Lancaster-Division Street,AQS,aqidaily2016.csv
9,05/11/2016,Ozone,40,101,101,35,69,06-037-9033,Lancaster-Division Street,AQS,aqidaily2016.csv
9,05/12/2016,Ozone,34,105,105,71,72,06-037-9033,Lancaster-Division Street,AQS,aqidaily2016.csv
9,05/13/2016,Ozone,36,115,115,38,88,06-037-9033,Lancaster-Division Street,AQS,aqidaily2016.csv
8,05/14/2016,PM2.5,17,79,77,29,79,06-037-9033,Lancaster-Division Street,AQS,aqidaily2016.csv
8,05/15/2016,PM2.5,15,58,45,19,58,06-037-1201,Reseda,AQS,aqidaily2016.csv
8,05/16/2016,PM2.5,27,64,49,25,64,06-037-1201,Reseda,AQS,aqidaily2016.csv
9,05/17/2016,Ozone,37,64,64,34,62,06-037-6012,Santa Clarita,AQS,aqidaily2016.csv
8,05/18/2016,PM2.5,44,67,58,36,67,06-037-1201,Reseda,AQS,aqidaily2016.csv
9,05/19/2016,PM2.5,32,76,74,38,76,06-037-1201,Reseda,AQS,aqidaily2016.csv
7,05/20/2016,PM2.5,28,59,54,34,59,06-037-1201,Reseda,AQS,aqidaily2016.csv
7,05/21/2016,PM2.5,24,52,48,18,52,06-037-0016,Glendora,AQS,aqidaily2016.csv
7,05/22/2016,PM2.5,24,53,48,19,53,06-037-9033,Lancaster-Division Street,AQS,aqidaily2016.csv
7,05/23/2016,PM2.5,28,52,49,21,52,06-037-1201,Reseda,AQS,aqidaily2016.csv
6,05/24/2016,PM2.5,28,55,44,23,55,06-037-1201,Reseda,AQS,aqidaily2016.csv
7,05/25/2016,PM2.5,26,51,42,18,51,06-037-1201,Reseda,AQS,aqidaily2016.csv
7,05/26/2016,PM2.5,33,58,46,22,58,06-037-1201,Reseda,AQS,aqidaily2016.csv
7,05/27/2016,Ozone,29,87,87,34,62,06-037-6012,Santa Clarita,AQS,aqidaily2016.csv
7,05/28/2016,Ozone,23,108,108,38,77,06-037-9033,Lancaster-Division Street,AQS,aqidaily2016.csv
7,05/29/2016,Ozone,17,90,90,29,61,06-037-9033,Lancaster-Division Street,AQS,aqidaily2016.csv
8,05/30/2016,Ozone,22,101,101,26,61,06-037-9033,Lancaster-Division Street,AQS,aqidaily2016.csv
8,05/31/2016,Ozone,30,100,100,35,81,06-037-9033,Lancaster-Division Street,AQS,aqidaily2016.csv
8,06/01/2016,Ozone,34,100,100,40,84,06-037-6012,Santa Clarita,AQS,aqidaily2016.csv
10,06/02/2016,Ozone,43,190,190,42,89,06-037-6012,Santa Clarita,AQS,aqidaily2016.csv
10,06/03/2016,Ozone,46,166,166,47,103,06-037-6012,Santa Clarita,AQS,aqidaily2016.csv
9,06/04/2016,Ozone,36,209,209,38,93,06-037-0016,Glendora,AQS,aqidaily2016.csv
8,06/05/2016,Ozone,24,140,140,31,68,06-037-6012,Santa Clarita,AQS,aqidaily2016.csv
8,06/06/2016,Ozone,25,108,108,30,71,06-037-9033,Lancaster-Division Street,AQS,aqidaily2016.csv
8,06/07/2016,Ozone,33,84,84,31,72,06-037-9033,Lancaster-Division Street,AQS,aqidaily2016.csv
8,06/08/2016,Ozone,30,164,164,38,78,06-037-6012,Santa Clarita,AQS,aqidaily2016.csv
8,06/09/2016,Ozone,30,133,133,43,82,06-037-9033,Lancaster-Division Street,AQS,aqidaily2016.csv
8,06/10/2016,Ozone,26,105,105,38,74,06-037-9033,Lancaster-Division Street,AQS,aqidaily2016.csv
9,06/11/2016,PM2.5,19,59,50,29,59,06-037-9033,Lancaster-Division Street,AQS,aqidaily2016.csv
8,06/12/2016,PM2.5,20,53,49,17,53,06-037-9033,Lancaster-Division Street,AQS,aqidaily2016.csv
8,06/13/2016,Ozone,31,61,61,25,54,06-037-9033,Lancaster-Division Street,AQS,aqidaily2016.csv
9,06/14/2016,Ozone,27,97,97,37,93,06-037-9033,Lancaster-Division Street,AQS,aqidaily2016.csv
8,06/15/2016,Ozone,28,71,71,34,66,06-037-9033,Lancaster-Division Street,AQS,aqidaily2016.csv
9,06/16/2016,Ozone,38,97,97,36,77,06-037-9033,Lancaster-Division Street,AQS,aqidaily2016.csv
11,06/17/2016,Ozone,53,169,169,55,99,06-037-6012,Santa Clarita,AQS,aqidaily2016.csv
11,06/18/2016,Ozone,42,119,119,29,77,06-037-0002,Azusa,AQS,aqidaily2016.csv
11,06/19/2016,Ozone,44,169,169,20,64,06-059-2022,Mission Viejo,AQS,aqidaily2016.csv
14,06/20/2016,Ozone,80,159,159,30,80,06-059-2022,Mission Viejo,AQS,aqidaily2016.csv
10,06/21/2016,Ozone,30,126,126,49,82,06-037-9033,Lancaster-Division Street,AQS,aqidaily2016.csv
9,06/22/2016,Ozone,29,119,119,47,74,06-037-9033,Lancaster-Division Street,AQS,aqidaily2016.csv
9,06/23/2016,Ozone,30,151,151,48,86,06-037-6012,Santa Clarita,AQS,aqidaily2016.csv
9,06/24/2016,Ozone,25,122,122,47,85,06-037-6012,Santa Clarita,AQS,aqidaily2016.csv
9,06/25/2016,Ozone,21,187,187,46,91,06-037-6012,Santa Clarita,AQS,aqidaily2016.csv
10,06/26/2016,Ozone,25,195,195,44,83,06-037-0016,Glendora,AQS,aqidaily2016.csv
10,06/27/2016,Ozone,37,177,177,52,93,06-037-6012,Santa Clarita,AQS,aqidaily2016.csv
10,06/28/2016,Ozone,36,133,133,51,96,06-037-0016,Glendora,AQS,aqidaily2016.csv
10,06/29/2016,Ozone,36,210,210,52,82,06-037-6012,Santa Clarita,AQS,aqidaily2016.csv
9,06/30/2016,Ozone,36,166,166,50,90,06-037-6012,Santa Clarita,AQS,aqidaily2016.csv
9,07/01/2016,Ozone,22,105,105,48,90,06-037-6012,Santa Clarita,AQS,aqidaily2016.csv
9,07/02/2016,Ozone,16,122,122,33,73,06-037-9033,Lancaster-Division Street,AQS,aqidaily2016.csv
8,07/03/2016,Ozone,13,84,84,27,73,06-037-0016,Glendora,AQS,aqidaily2016.csv
9,07/04/2016,Ozone,19,90,90,42,82,06-037-9033,Lancaster-Division Street,AQS,aqidaily2016.csv
10,07/05/2016,Ozone,26,129,129,58,122,06-037-9033,Lancaster-Division Street,AQS,aqidaily2016.csv
10,07/06/2016,Ozone,27,136,136,35,73,06-037-9033,Lancaster-Division Street,AQS,aqidaily2016.csv
10,07/07/2016,Ozone,26,126,126,38,77,06-037-9033,Lancaster-Division Street,AQS,aqidaily2016.csv
10,07/08/2016,Ozone,26,126,126,41,79,06-037-6012,Santa Clarita,AQS,aqidaily2016.csv
10,07/09/2016,Ozone,27,133,133,37,73,06-037-0016,Glendora,AQS,aqidaily2016.csv
10,07/10/2016,Ozone,24,87,87,40,73,06-037-0002,Azusa,AQS,aqidaily2016.csv
10,07/11/2016,Ozone,27,108,108,45,76,06-037-9033,Lancaster-Division Street,AQS,aqidaily2016.csv
10,07/12/2016,Ozone,28,133,133,47,84,06-037-6012,Santa Clarita,AQS,aqidaily2016.csv
10,07/13/2016,Ozone,30,156,156,48,70,06-037-6012,Santa Clarita,AQS,aqidaily2016.csv
11,07/14/2016,Ozone,40,156,156,46,70,06-037-0016,Glendora,AQS,aqidaily2016.csv
11,07/15/2016,Ozone,29,126,126,44,78,06-037-6012,Santa Clarita,AQS,aqidaily2016.csv
11,07/16/2016,Ozone,22,143,143,44,74,06-037-9033,Lancaster-Division Street,AQS,aqidaily2016.csv
11,07/17/2016,Ozone,21,133,133,31,69,06-037-9033,Lancaster-Division Street,AQS,aqidaily2016.csv
10,07/18/2016,Ozone,34,115,115,33,71,06-037-9033,Lancaster-Division Street,AQS,aqidaily2016.csv
11,07/19/2016,Ozone,40,115,115,36,64,06-037-0016,Glendora,AQS,aqidaily2016.csv
11,07/20/2016,Ozone,49,129,129,31,71,06-059-2022,Mission Viejo,AQS,aqidaily2016.csv
13,07/21/2016,Ozone,52,105,105,33,77,06-037-6012,Santa Clarita,AQS,aqidaily2016.csv
14,07/22/2016,Ozone,58,169,169,43,72,06-037-0016,Glendora,AQS,aqidaily2016.csv
9,07/23/2016,PM2.5,44,226,182,60,226,06-037-9034,Lebec,AQS,aqidaily2016.csv
15,07/24/2016,PM2.5,33,158,93,87,158,06-037-9033,Lancaster-Division Street,AQS,aqidaily2016.csv
17,07/25/2016,PM2.5,30,134,90,65,134,06-037-9033,Lancaster-Division Street,AQS,aqidaily2016.csv
9,07/26/2016,Ozone,31,133,133,40,70,06-037-6012,Santa Clarita,AQS,aqidaily2016.csv
10,07/27/2016,Ozone,36,112,112,42,69,06-037-9033,Lancaster-Division Street,AQS,aqidaily2016.csv
8,07/28/2016,Ozone,31,172,172,44,74,06-037-6012,Santa Clarita,AQS,aqidaily2016.csv
9,07/29/2016,Ozone,40,206,206,55,79,06-037-6012,Santa Clarita,AQS,aqidaily2016.csv
8,07/30/2016,Ozone,24,122,122,95,92,06-037-9033,Lancaster-Division Street,AQS,aqidaily2016.csv
7,07/31/2016,Ozone,17,101,101,52,69,06-037-9033,Lancaster-Division Street,AQS,aqidaily2016.csv
8,08/01/2016,Ozone,30,105,105,32,69,06-037-9033,Lancaster-Division Street,AQS,aqidaily2016.csv
8,08/02/2016,Ozone,30,119,119,34,66,06-037-6012,Santa Clarita,AQS,aqidaily2016.csv
7,08/03/2016,Ozone,27,122,122,36,69,06-037-9033,Lancaster-Division Street,AQS,aqidaily2016.csv
8,08/04/2016,Ozone,28,147,147,37,77,06-037-9033,Lancaster-Division Street,AQS,aqidaily2016.csv
8,08/05/2016,Ozone,38,136,136,44,84,06-037-6012,Santa Clarita,AQS,aqidaily2016.csv
8,08/06/2016,Ozone,21,140,140,35,74,06-037-6012,Santa Clarita,AQS,aqidaily2016.csv
8,08/07/2016,Ozone,17,136,136,34,77,06-037-0016,Glendora,AQS,aqidaily2016.csv
8,08/08/2016,Ozone,31,156,156,41,88,06-037-6012,Santa Clarita,AQS,aqidaily2016.csv
8,08/09/2016,Ozone,27,129,129,37,84,06-037-6012,Santa Clarita,AQS,aqidaily2016.csv
8,08/10/2016,Ozone,30,119,119,41,77,06-037-0016,Glendora,AQS,aqidaily2016.csv
8,08/11/2016,Ozone,40,129,129,38,74,06-037-9033,Lancaster-Division Street,AQS,aqidaily2016.csv
9,08/12/2016,Ozone,35,77,77,35,70,06-037-0016,Glendora,AQS,aqidaily2016.csv
9,08/13/2016,Ozone,26,136,136,30,70,06-037-0016,Glendora,AQS,aqidaily2016.csv
10,08/14/2016,Ozone,35,172,172,32,69,06-037-0016,Glendora,AQS,aqidaily2016.csv
10,08/15/2016,Ozone,45,112,112,31,69,06-037-1701,Pomona,AQS,aqidaily2016.csv
10,08/16/2016,Ozone,50,101,101,55,67,06-059-2022,Mission Viejo,AQS,aqidaily2016.csv
11,08/17/2016,Ozone,53,115,115,31,72,06-037-0016,Glendora,AQS,aqidaily2016.csv
10,08/18/2016,Ozone,41,84,84,40,70,06-037-0016,Glendora,AQS,aqidaily2016.csv
11,08/19/2016,Ozone,36,100,100,35,77,06-037-6012,Santa Clarita,AQS,aqidaily2016.csv
9,08/20/2016,PM2.5,25,75,51,30,75,06-037-1201,Reseda,AQS,aqidaily2016.csv
9,08/21/2016,Ozone,26,77,77,31,73,06-037-0002,Azusa,AQS,aqidaily2016.csv
9,08/22/2016,PM2.5,34,80,58,43,80,06-037-1201,Reseda,AQS,aqidaily2016.csv
10,08/23/2016,Ozone,42,122,122,41,78,06-037-9033,Lancaster-Division Street,AQS,aqidaily2016.csv
10,08/24/2016,Ozone,36,129,129,44,80,06-037-9033,Lancaster-Division Street,AQS,aqidaily2016.csv
9,08/25/2016,Ozone,30,140,140,44,83,06-037-9033,Lancaster-Division Street,AQS,aqidaily2016.csv
9,08/26/2016,Ozone,24,97,97,38,84,06-037-9033,Lancaster-Division Street,AQS,aqidaily2016.csv
9,08/27/2016,Ozone,24,108,108,38,83,06-037-9033,Lancaster-Division Street,AQS,aqidaily2016.csv
10,08/28/2016,Ozone,22,126,126,35,80,06-037-0016,Glendora,AQS,aqidaily2016.csv
10,08/29/2016,Ozone,45,161,161,47,86,06-037-0016,Glendora,AQS,aqidaily2016.csv
10,08/30/2016,Ozone,42,187,187,51,86,06-037-0016,Glendora,AQS,aqidaily2016.csv
11,08/31/2016,Ozone,40,151,151,51,83,06-037-0016,Glendora,AQS,aqidaily2016.csv
10,09/01/2016,Ozone,35,80,80,51,76,06-037-0016,Glendora,AQS,aqidaily2016.csv
9,09/02/2016,Ozone,25,84,84,46,81,06-037-6012,Santa Clarita,AQS,aqidaily2016.csv
9,09/03/2016,Ozone,15,87,87,32,71,06-037-9033,Lancaster-Division Street,AQS,aqidaily2016.csv
9,09/04/2016,PM2.5,17,68,49,28,68,06-037-1201,Reseda,AQS,aqidaily2016.csv
10,09/05/2016,PM2.5,18,73,67,33,73,06-037-1201,Reseda,AQS,aqidaily2016.csv
10,09/06/2016,Ozone,34,93,93,44,74,06-037-6012,Santa Clarita,AQS,aqidaily2016.csv
